=== bce_dice-transpose-half_shallow-s42-55dfa7 === 28,088,513 tham số, thiết bị cuda
epoch  71/120 | train 0.1554 | val 0.1974 | val dice 0.8187 | val iou 0.7335
epoch  72/120 | train 0.1591 | val 0.1782 | val dice 0.8429 | val iou 0.7559 *
epoch  73/120 | train 0.1582 | val 0.1890 | val dice 0.8323 | val iou 0.7481
epoch  74/120 | train 0.1459 | val 0.1916 | val dice 0.8281 | val iou 0.7404
epoch  75/120 | train 0.1450 | val 0.1820 | val dice 0.8290 | val iou 0.7461
epoch  76/120 | train 0.1487 | val 0.2122 | val dice 0.8012 | val iou 0.7149
epoch  77/120 | train 0.1384 | val 0.1860 | val dice 0.8308 | val iou 0.7443
epoch  78/120 | train 0.1356 | val 0.1880 | val dice 0.8260 | val iou 0.7382
epoch  79/120 | train 0.1441 | val 0.1751 | val dice 0.8380 | val iou 0.7513
epoch  80/120 | train 0.1375 | val 0.2026 | val dice 0.8257 | val iou 0.7353
epoch  81/120 | train 0.1304 | val 0.2016 | val dice 0.8134 | val iou 0.7281
epoch  82/120 | train 0.1284 | val 0.1957 | val dice 0.8246 | val iou 0.7394
epoch  83/120 | train 0.1250 | val 0.1783 | val dice 0.8363 | val iou 0.7525
epoch  84/120 | train 0.1321 | val 0.1803 | val dice 0.8391 | val iou 0.7569
epoch  85/120 | train 0.1303 | val 0.1826 | val dice 0.8333 | val iou 0.7530
epoch  86/120 | train 0.1239 | val 0.1724 | val dice 0.8496 | val iou 0.7713 *
epoch  87/120 | train 0.1189 | val 0.1755 | val dice 0.8379 | val iou 0.7571
epoch  88/120 | train 0.1211 | val 0.1694 | val dice 0.8429 | val iou 0.7641
epoch  89/120 | train 0.1179 | val 0.1744 | val dice 0.8403 | val iou 0.7597
epoch  90/120 | train 0.1122 | val 0.1701 | val dice 0.8473 | val iou 0.7664
epoch  91/120 | train 0.1130 | val 0.1885 | val dice 0.8328 | val iou 0.7532
epoch  92/120 | train 0.1086 | val 0.1790 | val dice 0.8386 | val iou 0.7578
epoch  93/120 | train 0.1059 | val 0.1808 | val dice 0.8437 | val iou 0.7634
epoch  94/120 | train 0.1072 | val 0.1732 | val dice 0.8443 | val iou 0.7642
epoch  95/120 | train 0.1071 | val 0.1755 | val dice 0.8458 | val iou 0.7666
epoch  96/120 | train 0.1049 | val 0.1684 | val dice 0.8506 | val iou 0.7730 *
epoch  97/120 | train 0.1007 | val 0.1704 | val dice 0.8462 | val iou 0.7665
epoch  98/120 | train 0.0977 | val 0.1700 | val dice 0.8534 | val iou 0.7769 *
epoch  99/120 | train 0.0975 | val 0.1704 | val dice 0.8530 | val iou 0.7746
epoch 100/120 | train 0.0948 | val 0.1685 | val dice 0.8520 | val iou 0.7732
epoch 101/120 | train 0.0927 | val 0.1741 | val dice 0.8459 | val iou 0.7681
epoch 102/120 | train 0.0928 | val 0.1794 | val dice 0.8439 | val iou 0.7660
epoch 103/120 | train 0.0922 | val 0.1779 | val dice 0.8472 | val iou 0.7693
epoch 104/120 | train 0.0894 | val 0.1775 | val dice 0.8436 | val iou 0.7654
epoch 105/120 | train 0.0897 | val 0.1723 | val dice 0.8479 | val iou 0.7704
epoch 106/120 | train 0.0904 | val 0.1740 | val dice 0.8465 | val iou 0.7698
epoch 107/120 | train 0.0896 | val 0.1737 | val dice 0.8485 | val iou 0.7711
epoch 108/120 | train 0.0851 | val 0.1704 | val dice 0.8523 | val iou 0.7738
epoch 109/120 | train 0.0848 | val 0.1660 | val dice 0.8544 | val iou 0.7768 *
epoch 110/120 | train 0.0872 | val 0.1695 | val dice 0.8522 | val iou 0.7737
epoch 111/120 | train 0.0801 | val 0.1749 | val dice 0.8523 | val iou 0.7756
epoch 112/120 | train 0.0878 | val 0.1764 | val dice 0.8491 | val iou 0.7718
epoch 113/120 | train 0.0845 | val 0.1771 | val dice 0.8489 | val iou 0.7712
epoch 114/120 | train 0.0833 | val 0.1746 | val dice 0.8502 | val iou 0.7731
epoch 115/120 | train 0.0839 | val 0.1749 | val dice 0.8503 | val iou 0.7729
epoch 116/120 | train 0.0815 | val 0.1741 | val dice 0.8495 | val iou 0.7718
epoch 117/120 | train 0.0796 | val 0.1754 | val dice 0.8492 | val iou 0.7713
epoch 118/120 | train 0.0774 | val 0.1744 | val dice 0.8488 | val iou 0.7703
epoch 119/120 | train 0.0854 | val 0.1753 | val dice 0.8500 | val iou 0.7727
